# x,y,psi,v_target -- minimum-time racing line exported by tuner.raceline_optimizer from a cone_recorder map.
# source_map=/home/Formula-Student-Driverless-Simulator/cone_map.json
# centreline_lap_time_s=38.372 raceline_lap_time_s=36.966 improvement_pct=3.66
x,y,psi,v_target
49.3269,31.9402,1.60019,16.7000
49.3129,32.4053,1.60164,16.7000
49.2982,32.8703,1.60308,16.7000
49.2829,33.3354,1.60451,16.7000
49.2668,33.8004,1.60595,16.7000
49.2502,34.2653,1.60737,16.7000
49.2328,34.7303,1.60880,16.7000
49.2148,35.1952,1.61023,16.7000
49.1961,35.6601,1.61165,16.7000
49.1768,36.1250,1.61307,16.7000
49.1568,36.5899,1.61450,16.7000
49.1361,37.0547,1.61592,16.7000
49.1148,37.5195,1.61734,16.7000
49.0928,37.9843,1.61876,16.7000
49.0702,38.4490,1.62018,16.7000
49.0469,38.9137,1.62159,16.7000
49.0230,39.3784,1.62301,16.7000
48.9983,39.8430,1.62443,16.7000
48.9731,40.3076,1.62585,16.7000
48.9471,40.7721,1.62727,16.7000
48.9205,41.2367,1.62868,16.7000
48.8933,41.7012,1.63010,16.7000
48.8654,42.1656,1.63152,16.7000
48.8368,42.6300,1.63294,16.7000
48.8076,43.0944,1.63435,16.7000
48.7777,43.5587,1.63577,16.7000
48.7472,44.0230,1.63719,16.7000
48.7160,44.4872,1.63862,16.7000
48.6841,44.9514,1.64004,16.7000
48.6516,45.4155,1.64147,16.7000
48.6184,45.8796,1.64290,16.7000
48.5846,46.3437,1.64433,16.7000
48.5500,46.8077,1.64577,16.7000
48.5149,47.2716,1.64722,16.7000
48.4790,47.7355,1.64867,16.7000
48.4425,48.1994,1.65014,16.7000
48.4052,48.6632,1.65161,16.7000
48.3673,49.1269,1.65311,16.7000
48.3287,49.5906,1.65462,16.7000
48.2894,50.0542,1.65616,16.7000
48.2494,50.5178,1.65772,16.7000
48.2086,50.9813,1.65931,16.7000
48.1671,51.4447,1.66094,16.7000
48.1249,51.9080,1.66260,16.7000
48.0818,52.3713,1.66431,16.7000
48.0380,52.8345,1.66606,16.7000
47.9933,53.2977,1.66785,16.7000
47.9478,53.7607,1.66967,16.7000
47.9015,54.2237,1.67155,16.7000
47.8542,54.6865,1.67357,16.7000
47.8060,55.1493,1.67575,16.7000
47.7567,55.6119,1.67807,16.7000
47.7064,56.0744,1.68053,16.7000
47.6548,56.5368,1.68313,16.7000
47.6021,56.9990,1.68588,16.7000
47.5480,57.4611,1.68879,16.7000
47.4925,57.9229,1.69185,16.7000
47.4356,58.3846,1.69507,16.7000
47.3772,58.8461,1.69846,16.7000
47.3172,59.3074,1.70201,16.7000
47.2555,59.7684,1.70575,16.7000
47.1921,60.2292,1.70966,16.7000
47.1268,60.6896,1.71375,16.7000
47.0595,61.1498,1.71804,16.7000
46.9903,61.6097,1.72252,16.7000
46.9190,62.0692,1.72721,16.7000
46.8454,62.5284,1.73211,16.7000
46.7696,62.9871,1.73724,16.7000
46.6913,63.4455,1.74260,16.7000
46.6106,63.9033,1.74821,16.7000
46.5272,64.3607,1.75409,16.7000
46.4411,64.8175,1.76026,16.5778
46.3521,65.2737,1.76674,16.3803
46.2601,65.7293,1.77356,16.1804
46.1650,66.1843,1.78075,15.9781
46.0664,66.6384,1.78833,15.7732
45.9644,67.0918,1.79634,15.5656
45.8586,67.5442,1.80482,15.3552
45.7489,67.9956,1.81378,15.1420
45.6351,68.4460,1.82320,14.9257
45.5169,68.8952,1.83303,14.7062
45.3943,69.3431,1.84328,14.4835
45.2670,69.7895,1.85432,14.2574
45.1346,70.2342,1.86659,14.0278
44.9966,70.6767,1.88011,13.7945
44.8525,71.1169,1.89483,13.5574
44.7019,71.5544,1.91074,13.3164
44.5442,71.9887,1.92786,13.0712
44.3790,72.4197,1.94622,12.8217
44.2060,72.8468,1.96587,12.5676
44.0247,73.2695,1.98682,12.3087
43.8346,73.6875,2.00912,12.0448
43.6353,74.1001,2.03280,11.7755
43.4266,74.5069,2.05787,11.5004
43.2079,74.9072,2.08434,11.2194
42.9790,75.3004,2.11224,10.9318
42.7395,75.6860,2.14157,10.6372
42.4892,76.0632,2.17234,10.3794
42.2278,76.4314,2.20452,10.1565
41.9552,76.7900,2.23792,9.9844
41.6711,77.1383,2.27223,9.8418
41.3758,77.4758,2.30745,9.6956
41.0694,77.8017,2.34370,9.5411
40.7522,78.1153,2.38106,9.3868
40.4243,78.4155,2.41951,9.2377
40.0863,78.7017,2.45906,9.0962
39.7386,78.9729,2.49964,8.9633
39.3817,79.2284,2.54120,8.8392
39.0163,79.4675,2.58369,8.7239
38.6431,79.6893,2.62703,8.6156
38.2628,79.8935,2.67118,8.5104
37.8761,80.0794,2.71616,8.3997
37.4836,80.2465,2.76214,8.2699
37.0858,80.3945,2.80950,8.1196
36.6827,80.5228,2.85856,8.0439
36.2730,80.6309,2.90766,8.1442
35.8555,80.7199,2.95475,8.3568
35.4306,80.7902,2.99976,8.5710
34.9991,80.8422,3.04310,8.7647
34.5619,80.8760,3.08501,8.9458
34.1202,80.8919,3.12563,9.1190
33.6750,80.8902,-3.11815,9.2851
33.2275,80.8710,-3.07986,9.4420
32.7787,80.8348,-3.04259,9.5863
32.3297,80.7818,-3.00621,9.7153
31.8812,80.7125,-2.97060,9.8300
31.4342,80.6272,-2.93566,9.9390
30.9893,80.5262,-2.90140,10.0632
30.5471,80.4099,-2.86801,10.2342
30.1082,80.2790,-2.83586,10.3754
29.6734,80.1342,-2.80417,10.1815
29.2446,79.9760,-2.77070,9.8623
28.8237,79.8037,-2.73449,9.5340
28.4121,79.6170,-2.69589,9.2219
