t,idx,x,y
3.0994,26,38.2068,4.5477
3.0994,27,38.6893,4.6788
3.0994,28,39.1707,4.8139
3.0994,29,39.6511,4.9525
3.0994,30,40.1304,5.0948
3.0994,31,40.6085,5.2410
3.0994,32,41.0852,5.3919
3.0994,33,41.5604,5.5475
3.0994,34,42.0342,5.7072
3.0994,35,42.5065,5.8712
3.0994,36,42.9770,6.0405
3.0994,37,43.4460,6.2138
3.0994,38,43.9133,6.3916
3.0994,39,44.2798,6.5354
3.0994,40,44.3338,6.5566
4.0996,0,36.6798,4.1884
4.0996,1,37.1636,4.3147
4.0996,2,37.6467,4.4436
4.0996,3,38.1290,4.5754
4.0996,4,38.6106,4.7098
4.0996,5,39.0918,4.8454
4.0996,6,39.5729,4.9816
4.0996,7,40.0540,5.1178
4.0996,8,40.5354,5.2530
4.0996,9,41.0170,5.3873
4.0996,10,41.4986,5.5215
4.0996,11,41.9799,5.6572
4.0996,12,42.4600,5.7968
4.0996,13,42.9385,5.9416
4.0996,14,43.4147,6.0940
4.0996,15,43.8876,6.2563
4.0996,16,44.3565,6.4297
4.0996,17,44.8199,6.6173
4.0996,18,45.2759,6.8223
4.0996,19,45.7226,7.0464
4.0996,20,46.1580,7.2920
4.0996,21,46.5752,7.5674
4.0996,22,46.9722,7.8706
4.0996,23,47.3423,8.2060
4.0996,24,47.6802,8.5741
4.0996,25,47.9739,8.9784
4.0996,26,48.2278,9.4084
4.0996,27,48.4412,9.8599
4.0996,28,48.6182,10.3273
4.0996,29,48.7579,10.8073
4.0996,30,48.8691,11.2945
4.0996,31,48.9548,11.7869
4.0996,32,49.0177,12.2828
4.0996,33,49.0621,12.7807
4.0996,34,49.0931,13.2796
4.0996,35,49.1142,13.7790
4.0996,36,49.1293,14.2788
4.0996,37,49.1427,14.7786
4.0996,38,49.1598,15.2782
4.0996,39,49.1918,15.7769
4.0996,40,49.2480,16.2724
4.0996,41,49.2695,16.7718
4.0996,42,49.2971,17.2711
4.0996,43,49.3306,17.7699
4.0996,44,49.3451,18.0041
4.0996,45,49.3583,18.2037
4.0996,46,49.3725,18.4032
4.0996,47,49.3871,18.6026
4.0996,48,49.4017,18.7957
5.1001,0,44.7402,6.5074
5.1001,1,45.2158,6.6607
5.1001,2,45.6780,6.8509
5.1001,3,46.1214,7.0812
5.1001,4,46.5440,7.3472
5.1001,5,46.9439,7.6460
5.1001,6,47.3119,7.9833
5.1001,7,47.6419,8.3572
5.1001,8,47.9345,8.7610
5.1001,9,48.1815,9.1954
5.1001,10,48.3829,9.6524
5.1001,11,48.5497,10.1231
5.1001,12,48.6849,10.6042
5.1001,13,48.7897,11.0926
5.1001,14,48.8767,11.5846
5.1001,15,48.9481,12.0793
5.1001,16,49.0074,12.5756
5.1001,17,49.0592,13.0729
5.1001,18,49.1041,13.5708
5.1001,19,49.1432,14.0693
5.1001,20,49.1778,14.5681
5.1001,21,49.2088,15.0671
5.1001,22,49.2372,15.5662
5.1001,23,49.2639,16.0654
5.1001,24,49.2897,16.5647
5.1001,25,49.3153,17.0640
5.1001,26,49.3400,17.5634
5.1001,27,49.3640,18.0628
5.1001,28,49.3872,18.5622
5.1001,29,49.4091,19.0618
5.1001,30,49.4292,19.5614
5.1001,31,49.4478,20.0610
5.1001,32,49.4645,20.5607
5.1001,33,49.4786,21.0605
5.1001,34,49.4908,21.5604
5.1001,35,49.5008,22.0602
5.1001,36,49.5084,22.5602
5.1001,37,49.5137,23.0601
5.1001,38,49.5168,23.5601
5.1001,39,49.5178,24.0601
5.1001,40,49.5167,24.5601
5.1001,41,49.5135,25.0600
5.1001,42,49.5079,25.5600
5.1001,43,49.5003,26.0600
5.1001,44,49.4911,26.5599
5.1001,45,49.4799,27.0597
5.1001,46,49.4663,27.5595
5.1001,47,49.4577,27.8903
5.1001,48,49.4566,28.0009
6.1496,0,48.4656,11.2310
6.1496,1,48.5850,11.7165
6.1496,2,48.6967,12.2039
6.1496,3,48.8002,12.6930
6.1496,4,48.8945,13.1840
6.1496,5,48.9813,13.6764
6.1496,6,49.0609,14.1700
6.1496,7,49.1327,14.6648
6.1496,8,49.1973,15.1606
6.1496,9,49.2556,15.6572
6.1496,10,49.3074,16.1545
6.1496,11,49.3525,16.6525
6.1496,12,49.3922,17.1509
6.1496,13,49.4267,17.6497
6.1496,14,49.4552,18.1489
6.1496,15,49.4792,18.6483
6.1496,16,49.4990,19.1479
6.1496,17,49.5137,19.6477
6.1496,18,49.5249,20.1475
6.1496,19,49.5327,20.6475
6.1496,20,49.5366,21.1474
6.1496,21,49.5376,21.6474
6.1496,22,49.5361,22.1474
6.1496,23,49.5318,22.6474
6.1496,24,49.5254,23.1474
6.1496,25,49.5173,23.6473
6.1496,26,49.5074,24.1472
6.1496,27,49.4962,24.6471
6.1496,28,49.4841,25.1469
6.1496,29,49.4712,25.6468
6.1496,30,49.4579,26.1466
6.1496,31,49.4444,26.6464
6.1496,32,49.4309,27.1462
6.1496,33,49.4180,27.6461
6.1496,34,49.4057,28.1459
6.1496,35,49.3944,28.6458
6.1496,36,49.3845,29.1457
6.1496,37,49.3761,29.6456
6.1496,38,49.3695,30.1456
6.1496,39,49.3654,30.6456
6.1496,40,49.3637,31.1455
6.1496,41,49.3647,31.6455
6.1496,42,49.3686,32.1455
6.1496,43,49.3697,32.2738
7.1498,0,49.4971,21.4293
7.1498,1,49.5010,21.9292
7.1498,2,49.5039,22.4292
7.1498,3,49.5056,22.9292
7.1498,4,49.5060,23.4292
7.1498,5,49.5055,23.9292
7.1498,6,49.5037,24.4292
7.1498,7,49.5009,24.9292
7.1498,8,49.4971,25.4292
7.1498,9,49.4921,25.9292
7.1498,10,49.4862,26.4291
7.1498,11,49.4793,26.9291
7.1498,12,49.4713,27.4290
7.1498,13,49.4624,27.9289
7.1498,14,49.4525,28.4288
7.1498,15,49.4417,28.9287
7.1498,16,49.4301,29.4286
7.1498,17,49.4174,29.9284
7.1498,18,49.4039,30.4282
7.1498,19,49.3897,30.9280
7.1498,20,49.3745,31.4278
7.1498,21,49.3585,31.9276
7.1498,22,49.3418,32.4273
7.1498,23,49.3241,32.9270
7.1498,24,49.3059,33.4266
7.1498,25,49.2868,33.9263
7.1498,26,49.2670,34.4259
7.1498,27,49.2466,34.9255
7.1498,28,49.2254,35.4250
7.1498,29,49.2036,35.9245
7.1498,30,49.1812,36.4240
7.1498,31,49.1580,36.9235
7.1498,32,49.1342,37.4229
7.1498,33,49.1099,37.9223
7.1498,34,49.0849,38.4217
7.1498,35,49.0595,38.9211
7.1498,36,49.0334,39.4204
7.1498,37,49.0068,39.9197
7.1498,38,48.9795,40.4189
7.1498,39,48.9511,40.9181
7.1498,40,48.9220,41.4173
7.1498,41,48.8925,41.9164
7.1498,42,48.8625,42.4155
7.1498,43,48.8357,42.8522
7.1498,44,48.8233,43.0518
7.1498,45,48.8108,43.2514
7.1498,46,48.8005,43.4136
8.1999,0,49.1577,37.1586
8.1999,1,49.1314,37.6579
8.1999,2,49.1049,38.1572
8.1999,3,49.0780,38.6565
8.1999,4,49.0508,39.1557
8.1999,5,49.0232,39.6550
8.1999,6,48.9952,40.1542
8.1999,7,48.9668,40.6534
8.1999,8,48.9381,41.1525
8.1999,9,48.9087,41.6517
8.1999,10,48.8790,42.1508
8.1999,11,48.8487,42.6499
8.1999,12,48.8179,43.1489
8.1999,13,48.7866,43.6479
8.1999,14,48.7547,44.1469
8.1999,15,48.7222,44.6459
8.1999,16,48.6891,45.1448
8.1999,17,48.6553,45.6436
8.1999,18,48.6210,46.1424
8.1999,19,48.5859,46.6412
8.1999,20,48.5501,47.1399
8.1999,21,48.5137,47.6386
8.1999,22,48.4765,48.1372
8.1999,23,48.4385,48.6358
8.1999,24,48.3999,49.1343
8.1999,25,48.3603,49.6327
