# fsae control log — tag=stanley
# t0_epoch_s=1786481627.9241  (t column is seconds since this instant)
# frame=global ENU (x east, y north, yaw right-handed, 0=+x); e_y/e_psi are front-axle Frenet errors vs the path, +ve = left/CCW
# score: fsae_control.scoring, verbatim copy of fsae_MPCTest/sim/scoring.py — lower is better
# score_is_partial=0  (1 = time_bonus/offtrack unavailable live; weighted-metric component is still directly comparable to an offline score)
# lap_time_s=53.0998
# optimal_time_s=45.4600  (ds/v_target integral over the precomputed speed profile, scaled by progress -- see LapProgressTracker)
# composite_score=0.302614
# n_steps=1206
# rmse=0.138014
# peak_lateral_error_m=0.410403
# speed_rmse_mps=2.504506
# yaw_rms_radps=0.437304
# max_yaw_rate_radps=1.535486
# control_smooth_rms=0.034204
# jerk_rms=0.057833
# steer_rms=0.118301
# accel_rms_mps2=0.000000
# max_steering_rad=0.436332
# max_accel_mps2=0.000000
# steering_sat_ratio=0.003317
# steering_reversal_rms=0.002916
# steering_reversal_rate=0.003317
# steering_reversals=4
# inaccurate_count=0
t,car_x,car_y,car_yaw,v_actual,v_desired,steer_deg,e_y,e_psi_deg,yaw_rate,delta_cmd,a_cmd,solver_failed,inaccurate,pose_age_s,path_age_s,n_delay,solve_ms,cmd_latency_ms,kappa,kappa_max_abs,corner_demand,demand_frac,alat_ceiling,uturn_severity,last_peak_kappa,dist_since_peak,m_Q_ey_approach,m_Q_ey_straight,m_Q_ey_uturn,m_Q_ey_soften,m_Q_epsi_approach,m_Q_epsi_exit,m_Q_epsi_straight,m_Q_epsi_uturn,m_Q_r_relax,m_Q_r_straight,m_Q_r_uturn,m_R_speed,m_R_straight,m_Rrate_corner,m_Rrate_antihunt,Q_ey_eff,Q_epsi_eff,Q_r_eff,R_steer_eff,Rrate_steer_eff,R_a_accel_eff,R_a_brake_eff
4.0500,36.6819,4.1801,0.23883,11.139,10.690,1.450,-0.0416,1.624,0.0647,0.025307,0.0000,0,0,,0.0444,,,0.552,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.0996,37.3284,4.3462,0.24435,10.823,10.471,1.579,-0.0476,1.739,0.0682,0.027560,0.0000,0,0,,0.0419,,,0.449,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.1499,37.6726,4.4362,0.24780,10.671,10.249,1.049,-0.0735,1.253,0.0986,0.018309,0.0000,0,0,,0.0441,,,0.463,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.1993,38.2675,4.5962,0.25496,10.402,10.021,0.589,-0.0771,0.663,0.0804,0.010282,0.0000,0,0,,0.0403,,,0.368,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.2493,38.5967,4.6874,0.25960,10.246,9.788,-0.081,-0.0868,0.180,0.1228,-0.001417,0.0000,0,0,,0.0441,,,0.376,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.2995,39.2403,4.8671,0.26821,9.945,9.549,-0.864,-0.0743,-0.302,0.1659,-0.015085,0.0000,0,0,,0.0448,,,0.725,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.3493,39.7913,5.0206,0.27336,9.667,9.052,-0.503,-0.0622,-0.415,0.0736,-0.008775,0.0000,0,0,,0.0444,,,0.362,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.3994,40.0832,5.1020,0.27475,9.517,9.052,-0.350,-0.0559,-0.326,0.0573,-0.006103,0.0000,0,0,,0.0438,,,0.436,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.4492,40.6005,5.2442,0.27465,9.249,8.793,-0.806,-0.2295,-2.129,-0.0070,-0.014074,0.0000,0,0,,0.0435,,,0.312,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.4998,40.8913,5.3248,0.27424,9.055,8.525,-3.028,-0.3246,-4.943,-0.0114,-0.052853,0.0000,0,0,,0.0451,,,0.788,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.5495,41.3886,5.4630,0.27361,8.714,8.246,-1.058,-0.1830,-2.184,-0.0081,-0.018465,0.0000,0,0,,0.0423,,,0.448,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.5995,41.9348,5.6069,0.26998,8.402,7.957,1.695,-0.1289,0.305,-0.1056,0.029591,0.0000,0,0,,0.0440,,,0.566,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.6496,42.1472,5.6594,0.26648,8.289,7.660,3.267,-0.1124,2.000,-0.1001,0.057014,0.0000,0,0,,0.0434,,,0.616,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.6996,42.6653,5.8008,0.26150,7.984,7.363,5.988,-0.1306,5.004,-0.0264,0.104508,0.0000,0,0,,0.0436,,,0.500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.7494,42.9157,5.8726,0.26231,7.813,7.074,8.163,-0.1269,7.519,0.0317,0.142465,0.0000,0,0,,0.0447,,,0.396,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.7998,43.3438,6.0025,0.26920,7.521,6.805,8.662,-0.1489,8.430,0.1342,0.151175,0.0000,0,0,,0.0442,,,0.583,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.8495,43.5772,6.0791,0.27679,7.364,6.805,7.276,-0.1465,7.921,0.2876,0.126994,0.0000,0,0,,0.0438,,,0.337,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.8998,43.9767,6.2229,0.29744,7.024,6.567,9.277,-0.1248,10.415,0.3541,0.161919,0.0000,0,0,,0.0441,,,0.528,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.9496,44.1876,6.3062,0.31291,6.796,6.373,5.800,-0.0818,8.686,0.6087,0.101221,0.0000,0,0,,0.0449,,,0.532,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.9994,44.5408,6.4533,0.34324,6.417,6.373,9.273,-0.0169,12.217,0.5366,0.161837,0.0000,0,0,,0.0419,,,0.453,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.0501,44.7302,6.5409,0.36189,6.291,6.231,5.766,0.0081,10.014,0.7302,0.100642,0.0000,0,0,,0.0426,,,0.750,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.1001,45.0571,6.6933,0.39413,6.073,6.151,11.146,-0.0015,14.180,0.5316,0.194532,0.0000,0,0,,0.0426,,,0.736,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.1494,45.3770,6.8627,0.42923,5.935,6.151,14.013,-0.0424,16.198,0.4425,0.244576,0.0000,0,0,,0.0441,,,0.457,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.1992,45.5488,6.9543,0.44666,5.835,6.138,11.541,-0.0982,14.238,0.6145,0.201421,0.0000,0,0,,0.0440,,,0.343,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.2498,45.8426,7.1264,0.48025,5.743,6.193,18.084,-0.1202,19.654,0.4523,0.315631,0.0000,0,0,,0.0462,,,0.591,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.3002,46.0046,7.2316,0.50225,5.781,6.193,13.577,-0.1534,16.804,0.7895,0.236964,0.0000,0,0,,0.0432,,,0.578,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.3494,46.2692,7.4189,0.54130,5.700,6.314,19.380,-0.1433,21.439,0.5732,0.338243,0.0000,0,0,,0.0401,,,0.541,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.3994,46.5468,7.6412,0.58981,5.621,6.314,19.987,-0.1658,22.411,0.6734,0.348837,0.0000,0,0,,0.0460,,,0.441,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.4494,46.6845,7.7625,0.61552,5.499,6.495,15.990,-0.1932,19.535,0.9161,0.279074,0.0000,0,0,,0.0436,,,0.476,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.4994,46.9126,7.9810,0.66421,5.476,6.730,21.611,-0.1731,24.027,0.6890,0.377185,0.0000,0,0,,0.0442,,,0.462,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.5499,47.1359,8.2269,0.72062,5.493,6.730,19.930,-0.1548,23.991,0.9472,0.347844,0.0000,0,0,,0.0448,,,0.460,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.5994,47.2308,8.3405,0.74731,5.570,7.011,17.373,-0.1774,20.314,0.7833,0.303211,0.0000,0,0,,0.0403,,,0.427,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.6503,47.4513,8.6418,0.81775,5.637,7.011,17.388,-0.1314,23.760,1.3101,0.303485,0.0000,0,0,,0.0459,,,0.687,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.6994,47.5374,8.7744,0.84896,5.624,7.323,17.043,-0.0894,21.480,0.9094,0.297453,0.0000,0,0,,0.0433,,,0.410,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.7496,47.7222,9.0895,0.92197,5.898,7.323,17.348,-0.0087,24.456,1.2531,0.302782,0.0000,0,0,,0.0446,,,0.550,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.7996,47.8876,9.4215,0.99523,6.178,7.656,16.059,-0.0042,24.031,1.3972,0.280279,0.0000,0,0,,0.0430,,,0.536,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.8499,47.9617,9.5900,1.03110,6.336,8.003,12.604,-0.1423,18.874,1.2884,0.219974,0.0000,0,0,,0.0450,,,0.460,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.8994,48.1026,9.9648,1.10781,6.608,8.003,7.620,-0.1653,14.686,1.4506,0.132987,0.0000,0,0,,0.0435,,,0.433,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.9493,48.2181,10.3330,1.17882,6.905,8.358,6.024,-0.1334,10.724,0.9890,0.105143,0.0000,0,0,,0.0443,,,0.355,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.9995,48.2799,10.5609,1.21954,7.076,8.717,0.736,-0.1093,7.871,1.3805,0.012851,0.0000,0,0,,0.0448,,,0.441,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.0499,48.3983,11.0087,1.28849,7.451,9.074,-1.268,-0.0426,5.007,1.1457,-0.022134,0.0000,0,0,,0.0445,,,0.585,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.0998,48.4515,11.2346,1.31853,7.600,9.074,-2.273,-0.0173,3.194,0.9743,-0.039668,0.0000,0,0,,0.0441,,,0.492,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.1496,48.5716,11.7241,1.36906,7.920,9.426,-3.096,0.0237,1.563,0.7865,-0.054039,0.0000,0,0,,0.0440,,,0.537,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.1998,48.6290,11.9625,1.38764,8.099,9.768,-3.287,0.0266,0.584,0.6465,-0.057375,0.0000,0,0,,0.0414,,,0.642,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.2495,48.7460,12.4697,1.41589,8.466,10.098,-1.977,0.0194,0.471,0.4068,-0.034511,0.0000,0,0,,0.0427,,,0.400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.2994,48.8055,12.7495,1.42605,8.662,10.418,-0.816,0.0652,1.500,0.3368,-0.014248,0.0000,0,0,,0.0420,,,0.405,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.3497,48.9150,13.3077,1.43709,9.055,10.728,0.447,0.0126,1.297,0.1358,0.007796,0.0000,0,0,,0.0435,,,0.530,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.3997,48.9648,13.5998,1.43946,9.250,11.029,1.433,-0.0103,1.846,0.0821,0.025012,0.0000,0,0,,0.0431,,,0.542,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.4498,49.0520,14.1874,1.44105,9.656,11.322,2.245,-0.0420,2.086,0.0117,0.039183,0.0000,0,0,,0.0438,,,0.610,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.4993,49.1240,14.7541,1.44252,10.012,11.607,2.813,-0.0616,2.666,0.0303,0.049101,0.0000,0,0,,0.0431,,,0.528,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.5499,49.1633,15.0925,1.44488,10.220,11.885,2.994,-0.0687,3.115,0.0823,0.052260,0.0000,0,0,,0.0439,,,0.492,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.5999,49.2250,15.6885,1.45246,10.554,12.157,2.791,-0.0768,3.046,0.1110,0.048706,0.0000,0,0,,0.0423,,,0.653,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.6496,49.2578,16.0453,1.45926,10.747,12.423,2.265,-0.0751,3.213,0.2294,0.039531,0.0000,0,0,,0.0442,,,0.356,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.6995,49.3094,16.6849,1.47442,11.074,12.683,1.860,-0.0690,2.686,0.2014,0.032460,0.0000,0,0,,0.0451,,,0.542,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.7505,49.3354,17.0592,1.48457,11.253,12.938,0.894,-0.0620,2.607,0.3496,0.015595,0.0000,0,0,,0.0446,,,0.604,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.7996,49.3747,17.7070,1.50240,11.542,13.188,0.598,-0.0493,1.848,0.2574,0.010446,0.0000,0,0,,0.0414,,,0.536,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.8498,49.4106,18.4297,1.52089,11.847,13.674,-0.371,-0.0332,1.200,0.3000,-0.006482,0.0000,0,0,,0.0435,,,0.507,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.8992,49.4401,19.1553,1.53567,12.134,14.143,-0.699,-0.0213,0.747,0.2686,-0.012191,0.0000,0,0,,0.0415,,,0.487,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.9495,49.4515,19.5073,1.54164,12.266,14.143,-0.417,-0.0152,0.767,0.2181,-0.007280,0.0000,0,0,,0.0443,,,0.374,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.9995,49.4762,20.2641,1.54999,12.549,14.598,-0.058,-0.0152,0.626,0.1306,-0.001005,0.0000,0,0,,0.0442,,,0.454,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.0498,49.4873,20.6325,1.55212,12.704,14.819,0.315,-0.0185,0.671,0.0757,0.005497,0.0000,0,0,,0.0444,,,0.506,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.0995,49.5058,21.4292,1.55452,13.044,15.038,0.750,-0.0271,0.841,0.0353,0.013086,0.0000,0,0,,0.0412,,,0.476,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.1498,49.5197,22.2738,1.55598,13.398,15.465,1.052,-0.0359,1.048,0.0243,0.018361,0.0000,0,0,,0.0444,,,0.483,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.2002,49.5253,22.7205,1.55688,13.583,15.675,1.121,-0.0390,1.168,0.0349,0.019562,0.0000,0,0,,0.0428,,,0.772,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.2498,49.5285,23.0737,1.55787,13.725,15.882,1.289,-0.0404,1.280,0.0258,0.022506,0.0000,0,0,,0.0422,,,0.866,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.2993,49.5314,24.0068,1.56263,14.089,16.287,0.869,-0.0437,1.238,0.0933,0.015166,0.0000,0,0,,0.0429,,,0.398,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.3496,49.5281,24.9048,1.56953,14.432,16.683,0.549,-0.0398,1.078,0.1182,0.009584,0.0000,0,0,,0.0443,,,0.489,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.3995,49.5233,25.3915,1.57417,14.603,16.877,-0.021,-0.0332,0.940,0.1891,-0.000373,0.0000,0,0,,0.0426,,,0.441,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.4494,49.5132,26.2488,1.58225,14.882,17.258,0.041,-0.0259,0.682,0.1283,0.000712,0.0000,0,0,,0.0433,,,0.411,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.4997,49.5054,26.7502,1.58658,15.042,17.426,-0.247,-0.0208,0.536,0.1497,-0.004314,0.0000,0,0,,0.0444,,,0.457,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.5498,49.4892,27.7001,1.59282,15.308,17.695,-0.025,-0.0180,0.352,0.0768,-0.000429,0.0000,0,0,,0.0393,,,0.530,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.5992,49.4783,28.2148,1.59519,15.445,17.798,-0.053,-0.0155,0.329,0.0760,-0.000920,0.0000,0,0,,0.0417,,,0.370,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.6493,49.4551,29.2223,1.59793,15.681,17.940,0.158,-0.0165,0.314,0.0370,0.002762,0.0000,0,0,,0.0430,,,0.472,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.7000,49.4421,29.7239,1.59875,15.794,17.980,0.236,-0.0160,0.370,0.0330,0.004112,0.0000,0,0,,0.0428,,,0.532,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.7495,49.4173,30.6402,1.59963,15.961,18.000,0.469,-0.0200,0.471,0.0122,0.008178,0.0000,0,0,,0.0377,,,0.389,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.7996,49.3883,31.6047,1.60046,16.118,18.000,0.575,-0.0241,0.568,0.0128,0.010040,0.0000,0,0,,0.0434,,,0.404,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.8497,49.3712,32.1440,1.60115,16.188,18.000,0.599,-0.0249,0.637,0.0211,0.010450,0.0000,0,0,,0.0426,,,0.431,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.8994,49.3387,33.0833,1.60321,16.302,18.000,0.570,-0.0264,0.653,0.0296,0.009955,0.0000,0,0,,0.0405,,,0.406,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.9497,49.3183,33.6278,1.60505,16.348,18.000,0.407,-0.0244,0.636,0.0541,0.007101,0.0000,0,0,,0.0422,,,0.453,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.9994,49.2744,34.7132,1.60991,16.434,18.000,0.022,-0.0214,0.498,0.0953,0.000392,0.0000,0,0,,0.0391,,,0.525,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8.0493,49.2304,35.7070,1.61513,16.483,18.000,-0.208,-0.0160,0.344,0.1055,-0.003630,0.0000,0,0,,0.0400,,,0.423,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8.0996,49.2091,36.1604,1.61754,16.505,18.000,-0.173,-0.0119,0.297,0.0889,-0.003025,0.0000,0,0,,0.0401,,,0.543,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8.1497,49.1624,37.1588,1.62149,16.536,18.000,-0.166,-0.0104,0.175,0.0654,-0.002900,0.0000,0,0,,0.0411,,,0.464,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8.1999,49.1400,37.6296,1.62266,16.552,18.000,0.019,-0.0099,0.189,0.0354,0.000329,0.0000,0,0,,0.0355,,,0.565,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8.2497,49.0855,38.7288,1.62411,16.578,18.000,0.168,-0.0134,0.225,0.0177,0.002929,0.0000,0,0,,0.0370,,,0.457,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8.2992,49.0307,39.7863,1.62458,16.598,18.000,0.361,-0.0180,0.344,0.0071,0.006305,0.0000,0,0,,0.0404,,,0.483,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8.3495,49.0012,40.3386,1.62481,16.607,18.000,0.455,-0.0193,0.442,0.0086,0.007947,0.0000,0,0,,0.0411,,,0.392,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8.3994,48.9461,41.3236,1.62588,16.613,18.000,0.423,-0.0221,0.509,0.0277,0.007375,0.0000,0,0,,0.0405,,,0.423,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8.4493,48.9188,41.7948,1.62681,16.618,18.000,0.456,-0.0226,0.570,0.0328,0.007955,0.0000,0,0,,0.0415,,,0.350,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8.4995,48.8572,42.8137,1.62984,16.618,18.000,0.217,-0.0236,0.521,0.0665,0.003782,0.0000,0,0,,0.0406,,,0.516,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8.5493,48.8009,43.7041,1.63325,16.620,18.000,0.254,-0.0223,0.461,0.0487,0.004435,0.0000,0,0,,0.0380,,,0.363,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8.5993,48.7334,44.7211,1.63765,16.623,18.000,0.072,-0.0191,0.339,0.0575,0.001249,0.0000,0,0,,0.0413,,,0.443,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8.6496,48.6956,45.2739,1.63990,16.621,18.000,-0.089,-0.0192,0.343,0.0863,-0.001555,0.0000,0,0,,0.0390,,,0.476,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8.6996,48.6337,46.1522,1.64324,16.622,18.000,0.057,-0.0189,0.271,0.0481,0.000986,0.0000,0,0,,0.0363,,,0.473,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8.7502,48.5592,47.1789,1.64620,16.625,18.000,0.033,-0.0195,0.216,0.0430,0.000574,0.0000,0,0,,0.0415,,,0.763,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8.7997,48.5250,47.6421,1.64713,16.624,17.995,0.190,-0.0195,0.285,0.0278,0.003308,0.0000,0,0,,0.0383,,,0.513,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8.8498,48.4461,48.6758,1.64892,16.627,17.940,0.240,-0.0219,0.296,0.0223,0.004185,0.0000,0,0,,0.0344,,,0.656,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8.9002,48.3668,49.6831,1.65048,16.629,17.827,0.275,-0.0236,0.357,0.0276,0.004808,0.0000,0,0,,0.0421,,,0.689,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8.9499,48.3307,50.1305,1.65128,16.627,17.748,0.410,-0.0246,0.465,0.0235,0.007164,0.0000,0,0,,0.0376,,,0.497,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8.9995,48.2446,51.1696,1.65353,16.625,17.546,0.332,-0.0280,0.482,0.0421,0.005791,0.0000,0,0,,0.0365,,,0.452,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9.0495,48.1596,52.1580,1.65633,16.609,17.152,0.277,-0.0292,0.516,0.0583,0.004828,0.0000,0,0,,0.0390,,,0.424,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9.0999,48.1169,52.6391,1.65800,16.600,17.016,0.331,-0.0276,0.582,0.0595,0.005778,0.0000,0,0,,0.0362,,,0.564,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9.1500,48.0247,53.6552,1.66177,16.566,16.740,0.305,-0.0318,0.587,0.0673,0.005325,0.0000,0,0,,0.0330,,,0.514,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9.1995,47.9781,54.1569,1.66367,16.523,16.601,0.425,-0.0324,0.673,0.0618,0.007418,0.0000,0,0,,0.0267,,,0.404,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9.2500,47.8774,55.2034,1.66779,16.410,16.318,0.371,-0.0358,0.675,0.0735,0.006484,0.0000,0,0,,0.0387,,,0.624,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9.2998,47.8301,55.6819,1.66964,16.330,16.175,0.596,-0.0359,0.802,0.0567,0.010403,0.0000,0,0,,0.0382,,,0.621,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9.3499,47.7215,56.7414,1.67346,16.115,15.884,0.620,-0.0415,0.879,0.0695,0.010821,0.0000,0,0,,0.0397,,,0.547,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9.3996,47.6748,57.1859,1.67507,16.003,15.737,0.927,-0.0413,1.057,0.0470,0.016187,0.0000,0,0,,0.0380,,,0.479,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9.4495,47.5619,58.2158,1.67943,15.713,15.287,0.951,-0.0561,1.227,0.0818,0.016598,0.0000,0,0,,0.0361,,,0.519,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9.4994,47.4545,59.1483,1.68414,15.403,14.979,1.111,-0.0664,1.439,0.0979,0.019383,0.0000,0,0,,0.0400,,,0.434,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9.5496,47.4037,59.5717,1.68662,15.257,14.823,1.400,-0.0688,1.686,0.0922,0.024440,0.0000,0,0,,0.0404,,,0.460,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9.6002,47.2921,60.4686,1.69235,14.931,14.665,1.429,-0.0792,1.792,0.1129,0.024949,0.0000,0,0,,0.0369,,,0.425,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9.6498,47.1821,61.3040,1.69845,14.595,14.345,1.878,-0.0939,2.067,0.0933,0.032779,0.0000,0,0,,0.0361,,,0.801,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9.6995,47.1162,61.7792,1.70260,14.395,14.183,1.820,-0.0981,2.255,0.1395,0.031772,0.0000,0,0,,0.0369,,,0.442,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9.7494,46.9967,62.6039,1.71077,14.052,13.851,2.090,-0.1074,2.357,0.1180,0.036482,0.0000,0,0,,0.0317,,,0.354,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9.7997,46.9260,63.0611,1.71625,13.877,13.683,1.840,-0.1068,2.510,0.1888,0.032114,0.0000,0,0,,0.0394,,,0.539,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9.8496,46.8042,63.8111,1.72657,13.587,13.339,2.147,-0.1095,2.557,0.1466,0.037478,0.0000,0,0,,0.0337,,,0.489,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9.8995,46.6614,64.6225,1.73991,13.302,12.985,1.354,-0.0925,2.397,0.2467,0.023631,0.0000,0,0,,0.0367,,,0.455,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9.9494,46.5175,65.3803,1.75393,13.049,12.805,1.139,-0.0745,2.401,0.2732,0.019884,0.0000,0,0,,0.0323,,,0.427,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9.9996,46.4410,65.7585,1.76159,12.920,12.621,0.991,-0.0616,2.349,0.2811,0.017305,0.0000,0,0,,0.0356,,,0.470,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.0498,46.2842,66.5130,1.77617,12.649,12.246,1.104,-0.0532,2.462,0.2761,0.019267,0.0000,0,0,,0.0362,,,0.468,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.0996,46.1365,67.1890,1.78803,12.378,12.057,1.548,-0.0537,2.238,0.1605,0.027025,0.0000,0,0,,0.0354,,,0.505,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.1496,46.0460,67.5862,1.79436,12.217,11.868,1.668,-0.0510,2.772,0.2312,0.029115,0.0000,0,0,,0.0386,,,0.555,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.1996,45.8946,68.2251,1.80405,11.953,11.675,2.251,-0.0577,2.818,0.1435,0.039293,0.0000,0,0,,0.0322,,,0.486,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.2500,45.8006,68.6022,1.80987,11.790,11.480,2.610,-0.0557,3.362,0.1748,0.045545,0.0000,0,0,,0.0392,,,0.466,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.2994,45.6207,69.2909,1.82134,11.499,11.078,2.823,-0.0660,3.384,0.1508,0.049271,0.0000,0,0,,0.0356,,,0.467,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
