# fsae control log — tag=stanley
# t0_epoch_s=1786481627.9241  (t column is seconds since this instant)
# frame=global ENU (x east, y north, yaw right-handed, 0=+x); e_y/e_psi are front-axle Frenet errors vs the path, +ve = left/CCW
# score: fsae_control.scoring, verbatim copy of fsae_MPCTest/sim/scoring.py — lower is better
# score_is_partial=0  (1 = time_bonus/offtrack unavailable live; weighted-metric component is still directly comparable to an offline score)
# lap_time_s=53.0998
# optimal_time_s=45.4600  (ds/v_target integral over the precomputed speed profile, scaled by progress -- see LapProgressTracker)
# composite_score=0.302614
# n_steps=1206
# rmse=0.138014
# peak_lateral_error_m=0.410403
# speed_rmse_mps=2.504506
# yaw_rms_radps=0.437304
# max_yaw_rate_radps=1.535486
# control_smooth_rms=0.034204
# jerk_rms=0.057833
# steer_rms=0.118301
# accel_rms_mps2=0.000000
# max_steering_rad=0.436332
# max_accel_mps2=0.000000
# steering_sat_ratio=0.003317
# steering_reversal_rms=0.002916
# steering_reversal_rate=0.003317
# steering_reversals=4
# inaccurate_count=0
t,car_x,car_y,car_yaw,v_actual,v_desired,steer_deg,e_y,e_psi_deg,yaw_rate,delta_cmd,a_cmd,solver_failed,inaccurate,pose_age_s,path_age_s,n_delay,solve_ms,cmd_latency_ms,kappa,kappa_max_abs,corner_demand,demand_frac,alat_ceiling,uturn_severity,last_peak_kappa,dist_since_peak,m_Q_ey_approach,m_Q_ey_straight,m_Q_ey_uturn,m_Q_ey_soften,m_Q_epsi_approach,m_Q_epsi_exit,m_Q_epsi_straight,m_Q_epsi_uturn,m_Q_r_relax,m_Q_r_straight,m_Q_r_uturn,m_R_speed,m_R_straight,m_Rrate_corner,m_Rrate_antihunt,Q_ey_eff,Q_epsi_eff,Q_r_eff,R_steer_eff,Rrate_steer_eff,R_a_accel_eff,R_a_brake_eff
1.0495,2.4236,-0.0824,-0.00303,7.021,18.000,1.120,0.0167,1.233,-0.0011,0.019554,0.0000,0,0,,0.0432,,,0.382,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.0998,2.6693,-0.0851,-0.00307,7.370,18.000,1.218,-0.0002,1.212,-0.0007,0.021255,0.0000,0,0,,0.0442,,,0.691,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.1495,3.1955,-0.0869,-0.00284,8.066,18.000,1.534,-0.0159,1.450,0.0030,0.026767,0.0000,0,0,,0.0401,,,0.452,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.1994,3.4759,-0.0862,-0.00263,8.412,18.000,1.735,-0.0212,1.637,0.0055,0.030277,0.0000,0,0,,0.0423,,,0.482,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.2496,3.7676,-0.0845,-0.00234,8.754,18.000,1.830,-0.0261,1.717,0.0071,0.031934,0.0000,0,0,,0.0452,,,0.505,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.2993,4.0707,-0.0819,-0.00178,9.094,18.000,1.907,-0.0299,1.805,0.0119,0.033278,0.0000,0,0,,0.0448,,,0.410,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.3493,4.7106,-0.0736,0.00067,9.769,18.000,1.818,-0.0365,1.808,0.0322,0.031724,0.0000,0,0,,0.0456,,,0.369,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.3996,5.0474,-0.0681,0.00261,10.106,18.000,1.867,-0.0370,2.019,0.0599,0.032580,0.0000,0,0,,0.0451,,,0.521,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.4497,5.3857,-0.0618,0.00503,10.429,18.000,1.832,-0.0375,2.040,0.0691,0.031972,0.0000,0,0,,0.0441,,,0.673,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.5002,6.1135,-0.0457,0.01141,11.083,18.000,1.497,-0.0401,1.835,0.0923,0.026120,0.0000,0,0,,0.0456,,,0.743,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.5492,6.4935,-0.0355,0.01521,11.405,18.000,1.545,-0.0387,1.995,0.1098,0.026969,0.0000,0,0,,0.0427,,,0.331,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.5994,6.8841,-0.0237,0.01938,11.724,18.000,1.598,-0.0383,1.937,0.0893,0.027886,0.0000,0,0,,0.0459,,,0.433,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.6501,7.2851,-0.0106,0.02378,12.036,18.000,1.288,-0.0382,1.894,0.1351,0.022486,0.0000,0,0,,0.0459,,,0.542,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.6994,8.1080,0.0209,0.03303,12.640,18.000,1.388,-0.0388,1.839,0.1072,0.024226,0.0000,0,0,,0.0424,,,0.406,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
