t,idx,x,y
3.0017,37,44.3764,6.6006
3.0017,38,44.8314,6.8078
3.0017,39,45.2800,7.0283
3.0017,40,45.7207,7.2640
3.0017,41,45.9720,7.3985
3.0017,42,46.1490,7.4916
3.0017,43,46.3236,7.5891
3.0017,44,46.4967,7.6892
3.0017,45,46.6685,7.7916
3.0017,46,46.6709,7.7930
4.0501,0,37.4645,4.3887
4.0501,1,37.9430,4.5330
4.0501,2,38.4221,4.6757
4.0501,3,38.9019,4.8160
4.0501,4,39.3829,4.9525
4.0501,5,39.8643,5.0878
4.0501,6,40.3462,5.2207
4.0501,7,40.8286,5.3523
4.0501,8,41.3112,5.4830
4.0501,9,41.7933,5.6152
4.0501,10,42.2748,5.7501
4.0501,11,42.7549,5.8897
4.0501,12,43.2327,6.0370
4.0501,13,43.7082,6.1915
4.0501,14,44.1791,6.3596
4.0501,15,44.6455,6.5393
4.0501,16,45.1058,6.7345
4.0501,17,45.5563,6.9510
4.0501,18,45.9975,7.1858
4.0501,19,46.4223,7.4493
4.0501,20,46.8268,7.7422
4.0501,21,47.2093,8.0635
4.0501,22,47.5547,8.4245
4.0501,23,47.8618,8.8178
4.0501,24,48.1303,9.2389
4.0501,25,48.3512,9.6871
4.0501,26,48.5368,10.1509
4.0501,27,48.6930,10.6256
4.0501,28,48.8145,11.1105
4.0501,29,48.9152,11.6001
4.0501,30,48.9961,12.0934
4.0501,31,49.0586,12.5894
4.0501,32,49.1090,13.0868
4.0501,33,49.1463,13.5854
4.0501,34,49.1755,14.0845
4.0501,35,49.1978,14.5840
4.0501,36,49.2145,15.0838
4.0501,37,49.2291,15.5835
4.0501,38,49.2424,16.0833
4.0501,39,49.2572,16.5831
4.0501,40,49.2749,17.0827
4.0501,41,49.2974,17.5822
4.0501,42,49.3230,18.0815
4.0501,43,49.3530,18.5805
4.0501,44,49.3884,19.0792
4.0501,45,49.4180,19.4517
4.0501,46,49.4427,19.6502
4.0501,47,49.4520,19.7246
5.0504,0,44.5645,6.4541
5.0504,1,45.0399,6.6083
5.0504,2,45.5054,6.7887
5.0504,3,45.9563,7.0038
5.0504,4,46.3838,7.2625
5.0504,5,46.7875,7.5561
5.0504,6,47.1614,7.8870
5.0504,7,47.4998,8.2546
5.0504,8,47.7973,8.6559
5.0504,9,48.0575,9.0822
5.0504,10,48.2814,9.5286
5.0504,11,48.4717,9.9908
5.0504,12,48.6276,10.4657
5.0504,13,48.7582,10.9481
5.0504,14,48.8673,11.4359
5.0504,15,48.9562,11.9279
5.0504,16,49.0275,12.4228
5.0504,17,49.0867,12.9192
5.0504,18,49.1349,13.4168
5.0504,19,49.1721,13.9154
5.0504,20,49.2030,14.4145
5.0504,21,49.2285,14.9138
5.0504,22,49.2494,15.4134
5.0504,23,49.2685,15.9130
5.0504,24,49.2868,16.4127
5.0504,25,49.3056,16.9123
5.0504,26,49.3248,17.4119
5.0504,27,49.3445,17.9115
5.0504,28,49.3644,18.4111
5.0504,29,49.3841,18.9108
5.0504,30,49.4035,19.4104
5.0504,31,49.4224,19.9100
5.0504,32,49.4403,20.4097
5.0504,33,49.4572,20.9094
5.0504,34,49.4727,21.4092
5.0504,35,49.4865,21.9090
5.0504,36,49.4983,22.4088
5.0504,37,49.5080,22.9087
5.0504,38,49.5155,23.4087
5.0504,39,49.5203,23.9086
5.0504,40,49.5230,24.4086
5.0504,41,49.5232,24.9086
5.0504,42,49.5199,25.4086
5.0504,43,49.5135,25.9086
5.0504,44,49.5047,26.4085
5.0504,45,49.4929,26.9083
5.0504,46,49.4771,27.4081
5.0504,47,49.4684,27.6208
5.0504,48,49.4605,27.7937
6.1010,0,48.2422,10.4639
6.1010,1,48.3835,10.9435
6.1010,2,48.5150,11.4258
6.1010,3,48.6370,11.9107
6.1010,4,48.7473,12.3983
6.1010,5,48.8501,12.8876
6.1010,6,48.9447,13.3786
6.1010,7,49.0292,13.8713
6.1010,8,49.1071,14.3652
6.1010,9,49.1778,14.8602
6.1010,10,49.2396,15.3563
6.1010,11,49.2954,15.8532
6.1010,12,49.3451,16.3507
6.1010,13,49.3871,16.8489
6.1010,14,49.4240,17.3475
6.1010,15,49.4555,17.8465
